City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
519,namsos,64.4662,64.4662,274.18,100,100,1.54,NO,1700854388
520,puquio,-14.7,-14.7,289.73,39,78,6.68,PE,1700854608
521,tomatlan,19.9333,19.9333,304.61,28,1,1.7,MX,1700854609
522,rocha,-34.4833,-34.4833,289.42,50,0,4.61,UY,1700854609
523,niquelandia,-14.4739,-14.4739,306.96,31,7,1.27,BR,1700854609
524,muisne,0.6,0.6,299.72,77,70,4.33,EC,1700854609
525,howard springs,-12.497,-12.497,300.1,91,100,1.21,AU,1700854610
526,sim,54.993,54.993,264.45,91,100,2.17,RU,1700854610
527,muhammadabad,25.6333,25.6333,290.66,36,0,1.09,IN,1700854610
528,tindouf,27.6711,27.6711,291.4,22,0,2.06,DZ,1700854610
529,vila velha,-20.3297,-20.3297,301.12,84,75,7.6,BR,1700854453
530,cadale,2.7603,2.7603,300.22,73,100,6.12,SO,1700854611
531,barmer,25.75,25.75,294.2,26,91,3.37,IN,1700854611
532,wick,58.4333,58.4333,277.18,87,75,9.26,GB,1700854612
533,woolgoolga,-30.1106,-30.1106,292.08,81,100,2.22,AU,1700854612
534,samsun,41.25,41.25,291.42,65,75,4.12,TR,1700854612
535,hotan,37.0997,37.0997,276.98,28,1,1.36,CN,1700854612
536,sandnessjoen,66.0217,66.0217,272.27,69,20,2.57,NO,1700854612
537,acajutla,13.5928,13.5928,303.21,65,100,2.75,SV,1700854613
538,olyokminsk,60.3736,60.3736,253.16,95,100,2.34,RU,1700854613
539,macau,22.2006,22.2006,295.0,73,20,8.75,MO,1700854613
540,novopskov,49.5464,49.5464,275.02,93,100,5.24,UA,1700854614
541,remire-montjoly,4.9167,4.9167,302.17,70,0,2.57,GF,1700854614
542,yuzhno-kurilsk,44.0306,44.0306,272.8,78,100,9.79,RU,1700854614
543,twardogora,51.3649,51.3649,276.13,98,100,6.14,PL,1700854614
544,fortaleza,-3.7227,-3.7227,303.22,65,0,7.2,BR,1700854469
545,tsafe,11.9553,11.9553,299.67,40,100,2.81,NG,1700854615
546,powell river,49.8496,49.8496,279.28,100,75,0.0,CA,1700854615
547,gorodoviki,46.1353,46.1353,283.63,94,100,5.03,RU,1700854615
548,port augusta,-32.5,-32.5,289.87,82,0,3.65,AU,1700854615
549,keren,15.7778,15.7778,294.01,71,6,2.99,ER,1700854616
550,kambove,-10.8764,-10.8764,289.92,94,68,1.52,CD,1700854616
551,takaungu,-3.6837,-3.6837,299.42,89,99,4.5,KE,1700854616
552,kani keli,-12.9536,-12.9536,299.74,70,55,3.62,YT,1700854616
553,gurupi,-11.7292,-11.7292,304.98,48,22,3.61,BR,1700854617
554,inhambane,-23.865,-23.865,297.18,91,0,2.39,MZ,1700854617
555,yarmouth,41.7057,41.7057,284.26,54,0,6.69,US,1700854375
556,marang,5.2056,5.2056,298.1,97,100,2.32,MY,1700854617
557,datong,40.0936,40.0936,267.67,18,91,2.1,CN,1700854617
558,askoy,60.4092,60.4092,277.31,93,75,6.69,NO,1700854618
559,tsiombe,-25.3,-25.3,296.7,77,0,4.83,MG,1700854618
560,belokurikha,51.9959,51.9959,275.09,75,100,2.55,RU,1700854618
561,nouadhibou,20.931,20.931,294.14,73,0,7.72,MR,1700854618
562,villa union,23.2,23.2,301.13,44,20,3.6,MX,1700854618
563,jiexiu,37.0244,37.0244,273.93,36,82,0.69,CN,1700854619
564,viedma,-40.8135,-40.8135,304.78,11,0,5.7,AR,1700854619
565,purranque,-40.9167,-40.9167,290.78,33,0,2.98,CL,1700854619
566,taroa,8.7058,8.7058,300.99,81,100,9.85,MH,1700854619
567,sanctuary point,-35.1114,-35.1114,292.45,95,100,4.2,AU,1700854620
568,nabire,-3.3667,-3.3667,297.54,89,85,1.23,ID,1700854549
569,jinchang,38.4953,38.4953,273.21,33,33,3.04,CN,1700854620
570,aqadyr,48.2553,48.2553,270.96,78,99,7.88,KZ,1700854620
571,famagusta,35.125,35.125,291.53,77,22,1.69,CY,1700854620
572,xianju,28.85,28.85,281.19,77,1,0.47,CN,1700854621
573,amnat charoen,15.9167,15.9167,293.46,74,100,7.39,TH,1700854621
574,qurayyat,31.3318,31.3318,286.25,71,0,2.06,SA,1700854621
575,babu,24.4167,24.4167,291.19,73,98,1.21,CN,1700854622
576,yellandu,17.6,17.6,295.56,90,100,0.84,IN,1700854622
577,smara,26.7384,26.7384,290.96,58,1,7.13,EH,1700854622
578,kawerau,-38.1,-38.1,287.86,76,100,1.34,NZ,1700854622
579,thongwa,16.7619,16.7619,300.24,80,9,0.97,MM,1700854623
580,talakan,50.3167,50.3167,252.77,84,16,3.56,RU,1700854623
